train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=300.7K
epoch 68/200, train: loss=0.0222, val: psnr=36.6705, 39.4s 52.4m/2.6h
epoch 69/200, train: loss=0.0222, val: psnr=36.5994, 46.5s 53.2m/2.6h
epoch 70/200, train: loss=0.0220, val: psnr=36.5901, 51.1s 54.0m/2.6h
epoch 71/200, train: loss=0.0222, val: psnr=36.8067, 51.5s 54.9m/2.6h
epoch 72/200, train: loss=0.0220, val: psnr=36.5545, 50.5s 55.7m/2.6h
epoch 73/200, train: loss=0.0220, val: psnr=36.5137, 47.0s 56.5m/2.6h
epoch 74/200, train: loss=0.0218, val: psnr=36.7545, 42.7s 57.2m/2.6h
epoch 75/200, train: loss=0.0219, val: psnr=36.6454, 39.1s 57.9m/2.6h
epoch 76/200, train: loss=0.0218, val: psnr=36.6804, 40.0s 58.5m/2.6h
epoch 77/200, train: loss=0.0220, val: psnr=36.6678, 46.9s 59.3m/2.6h
epoch 78/200, train: loss=0.0216, val: psnr=36.8392, 51.1s 1.0h/2.6h
epoch 79/200, train: loss=0.0222, val: psnr=36.4574, 51.7s 1.0h/2.6h
epoch 80/200, train: loss=0.0218, val: psnr=36.6742, 50.7s 1.0h/2.6h
epoch 81/200, train: loss=0.0216, val: psnr=36.8018, 46.8s 1.0h/2.6h
epoch 82/200, train: loss=0.0216, val: psnr=36.9287, 42.3s 1.1h/2.6h
epoch 83/200, train: loss=0.0217, val: psnr=36.5999, 39.6s 1.1h/2.6h
epoch 84/200, train: loss=0.0217, val: psnr=36.8128, 40.2s 1.1h/2.6h
epoch 85/200, train: loss=0.0217, val: psnr=36.5226, 46.8s 1.1h/2.6h
epoch 86/200, train: loss=0.0217, val: psnr=36.7908, 51.0s 1.1h/2.6h
epoch 87/200, train: loss=0.0217, val: psnr=36.6887, 51.7s 1.1h/2.6h
epoch 88/200, train: loss=0.0218, val: psnr=36.8129, 50.8s 1.1h/2.6h
epoch 89/200, train: loss=0.0216, val: psnr=36.5277, 47.3s 1.1h/2.6h
epoch 90/200, train: loss=0.0216, val: psnr=36.7866, 43.5s 1.2h/2.6h
epoch 91/200, train: loss=0.0216, val: psnr=36.9008, 38.6s 1.2h/2.6h
epoch 92/200, train: loss=0.0216, val: psnr=36.7875, 38.8s 1.2h/2.6h
epoch 93/200, train: loss=0.0217, val: psnr=36.9223, 46.1s 1.2h/2.6h
epoch 94/200, train: loss=0.0216, val: psnr=36.9795, 50.6s 1.2h/2.6h
epoch 95/200, train: loss=0.0215, val: psnr=36.9202, 51.6s 1.2h/2.6h
epoch 96/200, train: loss=0.0215, val: psnr=36.7454, 50.8s 1.2h/2.6h
epoch 97/200, train: loss=0.0217, val: psnr=36.9256, 47.7s 1.2h/2.6h
epoch 98/200, train: loss=0.0215, val: psnr=36.8059, 42.6s 1.3h/2.6h
epoch 99/200, train: loss=0.0213, val: psnr=36.8826, 39.0s 1.3h/2.6h
epoch 100/200, train: loss=0.0216, val: psnr=36.7724, 39.8s 1.3h/2.6h
epoch 101/200, train: loss=0.0216, val: psnr=36.9325, 47.1s 1.3h/2.6h
epoch 102/200, train: loss=0.0217, val: psnr=36.8661, 51.9s 1.3h/2.6h
epoch 103/200, train: loss=0.0214, val: psnr=36.7567, 51.6s 1.3h/2.6h
epoch 104/200, train: loss=0.0217, val: psnr=36.8844, 50.5s 1.3h/2.6h
epoch 105/200, train: loss=0.0217, val: psnr=36.6322, 47.2s 1.4h/2.6h
epoch 106/200, train: loss=0.0216, val: psnr=36.8104, 42.3s 1.4h/2.6h
epoch 107/200, train: loss=0.0216, val: psnr=36.6353, 39.4s 1.4h/2.6h
epoch 108/200, train: loss=0.0217, val: psnr=36.7668, 40.1s 1.4h/2.6h
epoch 109/200, train: loss=0.0217, val: psnr=36.6380, 47.6s 1.4h/2.6h
epoch 110/200, train: loss=0.0216, val: psnr=36.6006, 52.2s 1.4h/2.6h
epoch 111/200, train: loss=0.0214, val: psnr=36.7357, 52.1s 1.4h/2.6h
epoch 112/200, train: loss=0.0215, val: psnr=37.0585, 50.6s 1.4h/2.6h
epoch 113/200, train: loss=0.0217, val: psnr=36.8182, 46.4s 1.5h/2.6h
epoch 114/200, train: loss=0.0217, val: psnr=36.7636, 41.9s 1.5h/2.6h
epoch 115/200, train: loss=0.0214, val: psnr=36.6054, 40.0s 1.5h/2.6h
epoch 116/200, train: loss=0.0218, val: psnr=36.8768, 40.2s 1.5h/2.6h
epoch 117/200, train: loss=0.0215, val: psnr=36.7024, 47.0s 1.5h/2.6h
epoch 118/200, train: loss=0.0216, val: psnr=36.9330, 50.9s 1.5h/2.6h
epoch 119/200, train: loss=0.0216, val: psnr=36.8281, 51.3s 1.5h/2.6h
epoch 120/200, train: loss=0.0215, val: psnr=36.6414, 50.3s 1.5h/2.6h
epoch 121/200, train: loss=0.0215, val: psnr=36.7439, 46.8s 1.6h/2.6h
epoch 122/200, train: loss=0.0215, val: psnr=36.6661, 42.5s 1.6h/2.6h
epoch 123/200, train: loss=0.0215, val: psnr=36.9643, 39.6s 1.6h/2.6h
epoch 124/200, train: loss=0.0214, val: psnr=36.8093, 40.3s 1.6h/2.6h
epoch 125/200, train: loss=0.0214, val: psnr=36.7693, 47.2s 1.6h/2.6h
epoch 126/200, train: loss=0.0215, val: psnr=36.7106, 52.1s 1.6h/2.6h
epoch 127/200, train: loss=0.0215, val: psnr=36.7061, 51.9s 1.6h/2.6h
epoch 128/200, train: loss=0.0214, val: psnr=36.4883, 50.4s 1.6h/2.6h
epoch 129/200, train: loss=0.0217, val: psnr=36.7984, 47.5s 1.7h/2.6h
epoch 130/200, train: loss=0.0212, val: psnr=36.9292, 43.2s 1.7h/2.6h
epoch 131/200, train: loss=0.0216, val: psnr=36.7603, 38.9s 1.7h/2.6h
epoch 132/200, train: loss=0.0215, val: psnr=36.7501, 39.3s 1.7h/2.6h
epoch 133/200, train: loss=0.0216, val: psnr=36.8689, 46.9s 1.7h/2.6h
epoch 134/200, train: loss=0.0213, val: psnr=36.5566, 51.3s 1.7h/2.6h
epoch 135/200, train: loss=0.0214, val: psnr=36.6714, 51.5s 1.7h/2.6h
epoch 136/200, train: loss=0.0218, val: psnr=36.9319, 50.4s 1.7h/2.6h
epoch 137/200, train: loss=0.0214, val: psnr=36.8043, 47.0s 1.8h/2.6h
epoch 138/200, train: loss=0.0216, val: psnr=36.7457, 42.5s 1.8h/2.6h
epoch 139/200, train: loss=0.0215, val: psnr=36.8452, 39.2s 1.8h/2.6h
epoch 140/200, train: loss=0.0214, val: psnr=36.6990, 39.9s 1.8h/2.6h
epoch 141/200, train: loss=0.0216, val: psnr=36.7597, 47.3s 1.8h/2.6h
epoch 142/200, train: loss=0.0211, val: psnr=36.9431, 52.2s 1.8h/2.6h
epoch 143/200, train: loss=0.0215, val: psnr=36.6761, 52.1s 1.8h/2.6h
epoch 144/200, train: loss=0.0216, val: psnr=36.9740, 50.5s 1.9h/2.6h
epoch 145/200, train: loss=0.0213, val: psnr=37.0782, 47.0s 1.9h/2.6h
epoch 146/200, train: loss=0.0216, val: psnr=36.7272, 42.3s 1.9h/2.6h
epoch 147/200, train: loss=0.0215, val: psnr=37.0562, 39.3s 1.9h/2.6h
epoch 148/200, train: loss=0.0215, val: psnr=36.8346, 40.1s 1.9h/2.6h
epoch 149/200, train: loss=0.0216, val: psnr=36.8949, 47.2s 1.9h/2.6h
epoch 150/200, train: loss=0.0214, val: psnr=36.6054, 51.4s 1.9h/2.6h
epoch 151/200, train: loss=0.0212, val: psnr=37.0198, 51.7s 1.9h/2.6h
epoch 152/200, train: loss=0.0215, val: psnr=36.7665, 50.7s 2.0h/2.6h
epoch 153/200, train: loss=0.0214, val: psnr=36.6600, 47.9s 2.0h/2.6h
epoch 154/200, train: loss=0.0213, val: psnr=36.9121, 42.7s 2.0h/2.6h
epoch 155/200, train: loss=0.0213, val: psnr=37.1125, 38.9s 2.0h/2.6h
epoch 156/200, train: loss=0.0213, val: psnr=36.6056, 39.8s 2.0h/2.6h
epoch 157/200, train: loss=0.0214, val: psnr=36.9977, 47.0s 2.0h/2.6h
epoch 158/200, train: loss=0.0215, val: psnr=36.8873, 50.7s 2.0h/2.6h
epoch 159/200, train: loss=0.0214, val: psnr=36.8493, 51.6s 2.0h/2.6h
epoch 160/200, train: loss=0.0217, val: psnr=36.7875, 50.7s 2.1h/2.6h
epoch 161/200, train: loss=0.0215, val: psnr=36.9430, 47.1s 2.1h/2.6h
epoch 162/200, train: loss=0.0214, val: psnr=36.5757, 42.1s 2.1h/2.6h
epoch 163/200, train: loss=0.0214, val: psnr=36.9595, 39.5s 2.1h/2.6h
epoch 164/200, train: loss=0.0215, val: psnr=36.8308, 40.1s 2.1h/2.6h
epoch 165/200, train: loss=0.0216, val: psnr=36.8498, 47.1s 2.1h/2.6h
epoch 166/200, train: loss=0.0216, val: psnr=36.8280, 51.8s 2.1h/2.6h
epoch 167/200, train: loss=0.0217, val: psnr=36.9404, 51.7s 2.1h/2.6h
epoch 168/200, train: loss=0.0215, val: psnr=36.8184, 50.6s 2.2h/2.6h
epoch 169/200, train: loss=0.0213, val: psnr=36.4963, 47.3s 2.2h/2.6h
epoch 170/200, train: loss=0.0214, val: psnr=36.7881, 43.1s 2.2h/2.6h
epoch 171/200, train: loss=0.0212, val: psnr=36.6835, 38.8s 2.2h/2.6h
epoch 172/200, train: loss=0.0213, val: psnr=36.8982, 39.3s 2.2h/2.6h
epoch 173/200, train: loss=0.0215, val: psnr=36.7002, 46.0s 2.2h/2.6h
