train dataset: size=3960
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=681.1K
epoch 68/200, train: loss=0.0212, val: psnr=37.0407, 1.6m 1.9h/5.6h
epoch 69/200, train: loss=0.0214, val: psnr=36.7171, 1.7m 1.9h/5.6h
epoch 70/200, train: loss=0.0212, val: psnr=37.0032, 1.8m 2.0h/5.6h
epoch 71/200, train: loss=0.0212, val: psnr=37.1562, 1.9m 2.0h/5.7h
epoch 72/200, train: loss=0.0213, val: psnr=37.0549, 2.0m 2.0h/5.7h
epoch 73/200, train: loss=0.0213, val: psnr=36.9868, 1.9m 2.1h/5.7h
epoch 74/200, train: loss=0.0212, val: psnr=36.8818, 1.9m 2.1h/5.7h
epoch 75/200, train: loss=0.0212, val: psnr=37.0205, 1.8m 2.1h/5.7h
epoch 76/200, train: loss=0.0211, val: psnr=36.8905, 1.7m 2.2h/5.7h
epoch 77/200, train: loss=0.0210, val: psnr=37.1053, 1.6m 2.2h/5.7h
epoch 78/200, train: loss=0.0214, val: psnr=36.8493, 1.6m 2.2h/5.7h
epoch 79/200, train: loss=0.0210, val: psnr=36.9742, 1.5m 2.2h/5.7h
epoch 80/200, train: loss=0.0212, val: psnr=37.2276, 1.5m 2.3h/5.7h
epoch 81/200, train: loss=0.0210, val: psnr=36.9454, 1.5m 2.3h/5.7h
epoch 82/200, train: loss=0.0210, val: psnr=36.9634, 1.6m 2.3h/5.7h
epoch 83/200, train: loss=0.0211, val: psnr=37.1028, 1.6m 2.3h/5.6h
epoch 84/200, train: loss=0.0210, val: psnr=37.1058, 1.7m 2.4h/5.6h
epoch 85/200, train: loss=0.0212, val: psnr=37.1915, 1.8m 2.4h/5.7h
epoch 86/200, train: loss=0.0211, val: psnr=37.0326, 1.8m 2.4h/5.7h
epoch 87/200, train: loss=0.0209, val: psnr=37.0384, 2.0m 2.5h/5.7h
epoch 88/200, train: loss=0.0209, val: psnr=37.2475, 1.9m 2.5h/5.7h
epoch 89/200, train: loss=0.0208, val: psnr=37.2689, 1.9m 2.5h/5.7h
epoch 90/200, train: loss=0.0210, val: psnr=37.1892, 1.8m 2.6h/5.7h
epoch 91/200, train: loss=0.0213, val: psnr=37.1368, 1.8m 2.6h/5.7h
epoch 92/200, train: loss=0.0210, val: psnr=37.1413, 1.7m 2.6h/5.7h
epoch 93/200, train: loss=0.0211, val: psnr=37.0692, 1.6m 2.6h/5.7h
epoch 94/200, train: loss=0.0213, val: psnr=36.8953, 1.5m 2.7h/5.7h
epoch 95/200, train: loss=0.0211, val: psnr=37.3646, 1.5m 2.7h/5.7h
epoch 96/200, train: loss=0.0210, val: psnr=37.2127, 1.5m 2.7h/5.7h
epoch 97/200, train: loss=0.0212, val: psnr=36.9561, 1.5m 2.7h/5.7h
epoch 98/200, train: loss=0.0210, val: psnr=37.0968, 1.6m 2.8h/5.7h
epoch 99/200, train: loss=0.0212, val: psnr=37.2845, 1.6m 2.8h/5.6h
epoch 100/200, train: loss=0.0209, val: psnr=36.8875, 1.8m 2.8h/5.7h
epoch 101/200, train: loss=0.0211, val: psnr=37.0418, 1.8m 2.9h/5.7h
epoch 102/200, train: loss=0.0208, val: psnr=37.1097, 1.9m 2.9h/5.7h
epoch 103/200, train: loss=0.0210, val: psnr=37.1324, 1.9m 2.9h/5.7h
epoch 104/200, train: loss=0.0212, val: psnr=36.8246, 1.9m 3.0h/5.7h
epoch 105/200, train: loss=0.0211, val: psnr=36.9565, 1.8m 3.0h/5.7h
epoch 106/200, train: loss=0.0208, val: psnr=37.1454, 1.7m 3.0h/5.7h
epoch 107/200, train: loss=0.0208, val: psnr=37.2364, 1.8m 3.0h/5.7h
epoch 108/200, train: loss=0.0212, val: psnr=37.3466, 1.6m 3.1h/5.7h
epoch 109/200, train: loss=0.0212, val: psnr=37.1850, 1.6m 3.1h/5.7h
epoch 110/200, train: loss=0.0212, val: psnr=37.0301, 1.5m 3.1h/5.7h
epoch 111/200, train: loss=0.0210, val: psnr=37.1284, 1.5m 3.1h/5.7h
epoch 112/200, train: loss=0.0209, val: psnr=37.2595, 1.5m 3.2h/5.7h
epoch 113/200, train: loss=0.0212, val: psnr=37.2794, 1.6m 3.2h/5.7h
epoch 114/200, train: loss=0.0210, val: psnr=37.2042, 1.5m 3.2h/5.7h
epoch 115/200, train: loss=0.0209, val: psnr=37.0698, 1.7m 3.3h/5.7h
epoch 116/200, train: loss=0.0208, val: psnr=37.2416, 1.7m 3.3h/5.7h
epoch 117/200, train: loss=0.0210, val: psnr=37.3411, 1.9m 3.3h/5.7h
epoch 118/200, train: loss=0.0211, val: psnr=37.1710, 1.9m 3.3h/5.7h
epoch 119/200, train: loss=0.0209, val: psnr=37.1343, 1.9m 3.4h/5.7h
epoch 120/200, train: loss=0.0211, val: psnr=37.0785, 1.9m 3.4h/5.7h
epoch 121/200, train: loss=0.0209, val: psnr=36.9866, 1.9m 3.4h/5.7h
epoch 122/200, train: loss=0.0210, val: psnr=37.1050, 1.8m 3.5h/5.7h
epoch 123/200, train: loss=0.0211, val: psnr=37.2083, 1.7m 3.5h/5.7h
epoch 124/200, train: loss=0.0211, val: psnr=37.2886, 1.6m 3.5h/5.7h
epoch 125/200, train: loss=0.0209, val: psnr=37.2412, 1.6m 3.5h/5.7h
epoch 126/200, train: loss=0.0210, val: psnr=37.4110, 1.5m 3.6h/5.7h
epoch 127/200, train: loss=0.0211, val: psnr=36.9608, 1.5m 3.6h/5.7h
epoch 128/200, train: loss=0.0208, val: psnr=37.2711, 1.5m 3.6h/5.7h
epoch 129/200, train: loss=0.0210, val: psnr=37.2641, 1.6m 3.6h/5.7h
epoch 130/200, train: loss=0.0210, val: psnr=37.2377, 1.6m 3.7h/5.7h
epoch 131/200, train: loss=0.0210, val: psnr=37.2930, 1.7m 3.7h/5.7h
epoch 132/200, train: loss=0.0209, val: psnr=37.1650, 1.8m 3.7h/5.7h
epoch 133/200, train: loss=0.0210, val: psnr=37.2758, 1.8m 3.8h/5.7h
epoch 134/200, train: loss=0.0210, val: psnr=37.3089, 2.0m 3.8h/5.7h
epoch 135/200, train: loss=0.0210, val: psnr=37.1535, 1.9m 3.8h/5.7h
epoch 136/200, train: loss=0.0211, val: psnr=37.1793, 1.9m 3.9h/5.7h
epoch 137/200, train: loss=0.0208, val: psnr=37.2274, 1.8m 3.9h/5.7h
epoch 138/200, train: loss=0.0212, val: psnr=37.1782, 1.7m 3.9h/5.7h
epoch 139/200, train: loss=0.0212, val: psnr=37.3816, 1.6m 3.9h/5.7h
epoch 140/200, train: loss=0.0210, val: psnr=37.1391, 1.5m 4.0h/5.7h
epoch 141/200, train: loss=0.0209, val: psnr=37.0759, 1.6m 4.0h/5.7h
epoch 142/200, train: loss=0.0210, val: psnr=37.1921, 1.5m 4.0h/5.7h
epoch 143/200, train: loss=0.0209, val: psnr=37.2254, 1.5m 4.0h/5.7h
epoch 144/200, train: loss=0.0212, val: psnr=37.3217, 1.5m 4.1h/5.7h
epoch 145/200, train: loss=0.0208, val: psnr=37.2548, 1.6m 4.1h/5.7h
epoch 146/200, train: loss=0.0210, val: psnr=37.0253, 1.7m 4.1h/5.7h
epoch 147/200, train: loss=0.0209, val: psnr=37.2172, 1.8m 4.2h/5.7h
epoch 148/200, train: loss=0.0208, val: psnr=37.2469, 1.8m 4.2h/5.7h
epoch 149/200, train: loss=0.0211, val: psnr=37.2501, 2.0m 4.2h/5.7h
epoch 150/200, train: loss=0.0209, val: psnr=37.3196, 2.0m 4.3h/5.7h
epoch 151/200, train: loss=0.0208, val: psnr=37.1520, 1.9m 4.3h/5.7h
epoch 152/200, train: loss=0.0208, val: psnr=37.1583, 1.9m 4.3h/5.7h
epoch 153/200, train: loss=0.0211, val: psnr=37.4099, 1.7m 4.3h/5.7h
epoch 154/200, train: loss=0.0208, val: psnr=37.0524, 1.7m 4.4h/5.7h
epoch 155/200, train: loss=0.0209, val: psnr=37.1436, 1.6m 4.4h/5.7h
epoch 156/200, train: loss=0.0207, val: psnr=37.1888, 1.6m 4.4h/5.7h
